NUM,MIN,MAX,AVG
0,0.000799693,0.001432602,0.0010735303400000002
1,0.00036709,0.001455231,0.0008844194000000002
2,0.000360386,0.001262397,0.0006585786599999996
3,0.000359687,0.001363807,0.0004988998199999999
4,0.000786004,0.001403198,0.0010591917600000001
5,0.00101774,0.001359826,0.0010754265100000003
6,0.000356614,0.001228803,0.0007225274899999999
7,0.000357941,0.001271546,0.0008654097899999999
8,0.000353472,0.001228872,0.00049359818
9,0.000361922,0.001386996,0.0007939717599999998
10,0.000408297,0.001304582,0.00085672422
11,0.000365344,0.001598547,0.000718316
12,0.000396704,0.001400126,0.0008674904000000004
13,0.000476952,0.001484076,0.00107950671
14,0.000436234,0.001459072,0.00099968268
15,0.000402989,0.001408576,0.00094410296
16,0.000437422,0.001242492,0.0006828781200000002
17,0.000480933,0.001715114,0.0009619882100000001
18,0.001224892,0.001952717,0.00169435716
19,0.000723913,0.002699329,0.0018403020500000018
20,0.000900614,0.002932322,0.0017184658899999999
21,0.001182427,0.003926455,0.003217081379999999
22,0.001695977,0.005703449,0.003054697650000001
23,0.00254868,0.007734459,0.004237942980000001
24,0.003933091,0.011601338,0.005848458850000003
25,0.006120965,0.018214133,0.009707512409999999
26,0.00955224,0.028236969,0.011901675180000005
27,0.015103014,0.039397953,0.017437700049999998
28,0.0241086,0.050857931,0.02902407782
29,0.038937204,0.067231793,0.042195091260000005
30,0.063121303,0.091267616,0.06848924317999998
31,0.101771105,0.135728354,0.10659301500000005
32,0.164770043,0.198975299,0.1717788614
33,0.265804796,0.308494684,0.27236288389999996
34,0.428766607,0.477309894,0.43769216354000007
35,0.693380297,0.784373511,0.7380079297900002
36,1.147567908,1.282302007,1.1954793127099999
37,1.818405966,1.942804261,1.8453419321300013
38,2.943723542,3.276834296,3.093894461629999
39,4.7662134179999995,5.18568184,4.884852124809998
40,7.710611132,8.620148389,7.900622558240001
