NUM,MIN,MAX,AVG
0,0.001964941,0.005008456,0.00425269961
1,0.001888324,0.00499337,0.004336717689999999
2,0.001792711,0.004822606,0.002920155229999999
3,0.001833079,0.004817717,0.004181915240000001
4,0.001955862,0.004990995,0.004327942599999999
5,0.002340413,0.004867863,0.004488528789999999
6,0.001882178,0.004986944,0.0038946520099999993
7,0.001829518,0.005438405,0.0041226246199999985
8,0.001777694,0.004866048,0.003971531450000001
9,0.001804933,0.005496514,0.003515095799999999
10,0.001882248,0.004890283,0.0036736019499999995
11,0.001923595,0.004944131,0.0038400841600000003
12,0.001899848,0.004890352,0.0033057981100000013
13,0.001897893,0.005327006,0.003397334
14,0.001866743,0.004423108,0.002722694400000001
15,0.001852565,0.006868285,0.0031035000300000002
16,0.001944128,0.010249067,0.003487219509999999
17,0.002004612,0.007605958,0.0032895555699999995
18,0.002218748,0.005461383,0.003310779850000001
19,0.002468504,0.006484991,0.00474225073
20,0.002899989,0.007921785,0.005378847910000001
21,0.003535413,0.009076206,0.007128079930000002
22,0.004477446,0.011064266,0.006777554369999998
23,0.005377781,0.013101354,0.007612338749999996
24,0.006417732,0.016418231,0.00858142668
25,0.00807837,0.021800412,0.014278987569999997
26,0.010755283,0.029568404,0.017071748970000005
27,0.015685167,0.035523849,0.02036179791
28,0.022306558,0.045241766,0.030694812640000003
29,0.034136852,0.054057321,0.04357170569000001
30,0.05313652,0.083362208,0.06252036488999999
31,0.083316386,0.103109674,0.09276759961999996
32,0.133128132,0.148257774,0.14288187349999995
33,0.212946735,0.233111449,0.22253725803000005
34,0.339249235,0.360299862,0.3510903658299999
35,0.540632382,0.58198345,0.5609090971499998
36,0.873184483,0.917828317,0.8952160477400001
37,1.415228739,1.4761869650000001,1.44206008348
38,2.303119771,2.597513114,2.450565442879999
39,3.685967656,3.95021159,3.7600197067800023
40,5.959426097,6.438057433,6.0781597254900035
